user_id,product_id,preference
512691530,4225,1
519209046,2443,9
514377205,2698,2
513670761,5584,6
515172430,1304,2
513874398,1487,6
512980445,3836,4
543316845,1420,1
546277040,2962,1
512955066,2769,20
513757665,1476,7
512462542,2678,14
512823199,1418,8
560585156,4086,3
558216853,5584,41
516000047,5133,4
561102380,3893,5
542048657,535,33
520990592,2774,4
520568355,4353,3
513545724,695,1
538844047,517,1
533074532,4007,4
557395932,4623,1
512377260,5580,1
514417055,2343,8
512792386,88,6
521343369,5816,11
514226982,5716,3
561264320,1218,2
561274293,4884,2
512450470,1891,6
548689391,2725,14
515347624,5793,86
556658830,860,2
556658830,2763,12
518887131,5828,1
533222872,5570,1
528180813,4366,1
513287781,4881,6
516278083,5369,1
533325131,5242,1
513401283,771,8
518371987,2748,4
528096452,2580,3
526760273,4583,1
512538521,173,6
515207489,1760,2
514138790,518,1
463020196,1579,10
512940136,174,1
562286876,1231,1
523894109,3082,2
513753992,5293,1
512894713,4064,13
512401084,2860,13
554302926,771,1
514110874,2020,5
515588608,2689,2
516247741,5584,1
545981048,5243,2
553801453,5891,2
552049152,4007,6
512895446,4505,1
513036979,5762,1
540614086,139,2
514237438,4366,2
558350222,2113,4
514265156,4536,1
540749410,4064,1
521109179,494,4
547302248,5369,31
513588006,181,4
514933697,4558,4
543698863,1111,1
512577373,2861,1
549556484,894,2
514245827,2593,1
520369398,3690,1
535746224,1274,1
513846960,5639,9
531467063,2425,3
523676337,1597,2
516876899,4412,7
542601681,3963,1
552780503,2505,1
514966854,5167,2
512649814,782,2
556937784,3850,3
543470937,4400,1
518496932,4558,2
547246175,4356,3
516634496,4626,2
517403657,1818,1
558057992,3893,1
551536269,2580,1
515159690,5131,1
523285276,3903,3
542642380,445,96
541984382,2579,1
532944208,518,1
512751874,2598,1
525006081,2676,1
524261028,2531,2
513107821,2919,4
517672882,5243,2
551932194,2429,3
516224725,5131,1
512449303,206,7
514016659,4122,4
514966854,465,2
512445341,3785,3
554311725,4149,1
514518079,5931,2
513093143,1939,1
512373537,1939,17
553287247,1288,3
556059280,248,1
518887131,657,1
515010705,4058,3
551170107,1821,1
513808817,5816,4
528415595,2756,9
512786243,4583,24
521451601,1747,17
512782496,3893,4
545766064,4896,1
535384611,186,1
513179975,3109,2
516469519,2151,28
513605798,5946,19
557213384,2756,33
555792709,2676,1
517037309,4077,1
512620853,2955,4
520990592,4405,2
553997847,494,2
514264448,4273,3
514730793,261,4
532714334,114,3
533689881,1097,6
